[08-09 09:04:23]	 COM1 Close [OK]
[08-09 09:30:48]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:30:48]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:30:48]	 COM4 Close [OK]
[08-09 09:33:44]	 COM4 Close [OK]
[08-09 09:33:45]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:33:45]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:33:45]	 COM4 Close [OK]
[08-09 09:34:31]	 COM1 Close [OK]
[08-09 09:34:31]	 COM1 Close [OK]
[08-09 09:34:31]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:34:31]	 아스키 프로토콜 [OK] ![000/C1Hello /C2World!]
                	 Receive : ![0000!]
[08-09 09:34:31]	 COM4 Close [OK]
[08-09 09:35:05]	 COM1 Close [OK]
[08-09 09:35:08]	 COM1 Close [OK]
[08-09 09:35:08]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:08]	 아스키 프로토콜 [OK] ![000/Y0004/E0606/S1000/C7Text 123456789 Hello World!]
                	 Receive : ![0000!]
[08-09 09:35:08]	 COM4 Close [OK]
[08-09 09:35:11]	 COM4 Close [OK]
[08-09 09:35:11]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:11]	 아스키 프로토콜 [OK] ![000/C1Hello /C2World!]
                	 Receive : ![0000!]
[08-09 09:35:11]	 COM4 Close [OK]
[08-09 09:35:18]	 COM4 Close [OK]
[08-09 09:35:18]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:18]	 아스키 프로토콜 [OK] ![0032/P0000/D0401/F0003/E1801/S1502/X0000/Y0000/B000/C3/G0/T0!]
                	 Receive : ![00320!]
[08-09 09:35:18]	 COM4 Close [OK]
[08-09 09:35:23]	 COM4 Close [OK]
[08-09 09:35:23]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:23]	 아스키 프로토콜 [OK] ![0032/P0000/D0401/F0003/E0101/S1502/X0000/Y0000/B000/C3/G0/T0!]
                	 Receive : ![00320!]
[08-09 09:35:23]	 COM4 Close [OK]
[08-09 09:35:25]	 COM4 Close [OK]
[08-09 09:35:28]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:28]	 아스키 프로토콜 [OK] ![00330!]
                	 Receive : ![0033/P0000/D0401/F0003/E0101/S1502/X0000/Y0000/B000/C3/G0/T0!]
[08-09 09:35:28]	 COM4 Close [OK]
[08-09 09:35:43]	 COM4 Close [OK]
[08-09 09:35:43]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:43]	 아스키 프로토콜 [OK] ![00330!]
                	 Receive : ![0033/P0000/D0401/F0003/E0101/S1502/X0000/Y0000/B000/C3/G0/T0!]
[08-09 09:35:43]	 COM4 Close [OK]
[08-09 09:35:45]	 COM4 Close [OK]
[08-09 09:35:45]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:45]	 아스키 프로토콜 [OK] ![0032/P0000/D0401/F0003/E0101/S1502/X0000/Y0000/B000/C3/G0/T0!]
                	 Receive : ![00320!]
[08-09 09:35:45]	 COM4 Close [OK]
[08-09 09:35:53]	 COM4 Close [OK]
[08-09 09:35:54]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:54]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:35:54]	 COM4 Close [OK]
[08-09 09:35:54]	 COM4 Close [OK]
[08-09 09:35:54]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:35:54]	 아스키 프로토콜 [OK] ![000/C1Hello /C2World!]
                	 Receive : ![0000!]
[08-09 09:35:54]	 COM4 Close [OK]
[08-09 09:37:00]	 COM1 Close [OK]
[08-09 09:37:02]	 COM1 Close [OK]
[08-09 09:38:19]	 COM1 Close [OK]
[08-09 09:38:19]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:38:20]	 COM4 Close [OK]
[08-09 09:38:20]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:38:20]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:38:20]	 COM4 Close [OK]
[08-09 09:38:29]	 COM4 Close [OK]
[08-09 09:38:29]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:38:29]	 컨트롤러 리셋 (2 X 6) [OK] ![0041!]
                	 Receive : ![00410!!]
[08-09 09:38:29]	 COM4 Close [OK]
[08-09 09:38:52]	 COM1 Close [OK]
[08-09 09:38:56]	 COM1 Close [OK]
[08-09 09:38:56]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:38:56]	 컨트롤러 리셋 (2 X 6) [OK] ![0041!]
                	 Receive : ![00410!!]
[08-09 09:38:56]	 COM4 Close [OK]
[08-09 09:39:00]	 COM4 Close [OK]
[08-09 09:39:00]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:39:00]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:39:00]	 COM4 Close [OK]
[08-09 09:39:36]	 COM4 Close [OK]
[08-09 09:39:36]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:39:36]	 컨트롤러 시간 읽기 [OK] ![0031!]
                	 Receive : ![00317001014002304!]
[08-09 09:39:36]	 COM4 Close [OK]
[08-09 09:39:44]	 COM4 Close [OK]
[08-09 09:39:46]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:39:46]	 PC 시간으로 동기화 [OK] ![00302408095093946!]
                	 Receive : ![00300!]
[08-09 09:39:46]	 COM4 Close [OK]
[08-09 09:39:55]	 COM4 Close [OK]
[08-09 09:39:55]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:39:55]	 컨트롤러 시간 읽기 [OK] 10 02 00 00 01 66 10 03 
                	 Receive : 10 02 00 00 08 66 24 08 09 05 09 39 54 10 03 
[08-09 09:39:55]	 COM4 Close [OK]
[08-09 09:40:08]	 COM4 Close [OK]
[08-09 09:40:12]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:40:12]	 컨트롤러 리셋 [OK] 10 02 00 00 02 89 00 10 03 
                	 Receive : 10 02 00 00 02 89 00 10 03 
[08-09 09:40:12]	 COM4 Close [OK]
[08-09 09:40:17]	 COM4 Close [OK]
[08-09 09:42:10]	 COM4 Close [OK]
[08-09 09:42:10]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:42:10]	 Power Off [OK] 10 02 00 00 02 41 00 10 03 
                	 Receive : 10 02 00 00 02 41 00 10 03 
[08-09 09:42:10]	 COM4 Close [OK]
[08-09 09:43:08]	 COM1 Close [OK]
[08-09 09:43:10]	 COM1 Close [OK]
[08-09 09:43:12]	 COM1 Close [OK]
[08-09 09:43:12]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:12]	 COM4 Close [OK]
[08-09 09:43:12]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:12]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:43:12]	 COM4 Close [OK]
[08-09 09:43:15]	 COM4 Close [OK]
[08-09 09:43:15]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:15]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:43:15]	 COM4 Close [OK]
[08-09 09:43:26]	 COM1 Close [OK]
[08-09 09:43:33]	 COM1 Close [OK]
[08-09 09:43:35]	 COM1 Close [OK]
[08-09 09:43:36]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:37]	 COM4 Close [OK]
[08-09 09:43:37]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:37]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:43:37]	 COM4 Close [OK]
[08-09 09:43:39]	 COM4 Close [OK]
[08-09 09:43:39]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:39]	 Power Off [OK] 10 02 00 00 02 41 00 10 03 
                	 Receive : 10 02 00 00 02 41 00 10 03 
[08-09 09:43:39]	 COM4 Close [OK]
[08-09 09:43:40]	 COM4 Close [OK]
[08-09 09:43:40]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:40]	 Power On [OK] 10 02 00 00 02 41 01 10 03 
                	 Receive : 10 02 00 00 02 41 00 10 03 
[08-09 09:43:40]	 COM4 Close [OK]
[08-09 09:43:41]	 COM4 Close [OK]
[08-09 09:43:41]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:41]	 Power Off [OK] 10 02 00 00 02 41 00 10 03 
                	 Receive : 10 02 00 00 02 41 00 10 03 
[08-09 09:43:41]	 COM4 Close [OK]
[08-09 09:43:52]	 COM4 Close [OK]
[08-09 09:43:52]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:52]	 Power On [OK] ![00211!]
                	 Receive : ![00210!]
[08-09 09:43:52]	 COM4 Close [OK]
[08-09 09:43:54]	 COM4 Close [OK]
[08-09 09:43:54]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:54]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:43:54]	 COM4 Close [OK]
[08-09 09:43:57]	 COM4 Close [OK]
[08-09 09:43:57]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:43:57]	 Power Off [OK] ![00210!]
                	 Receive : ![00210!]
[08-09 09:43:57]	 COM4 Close [OK]
[08-09 09:43:58]	 COM4 Close [OK]
[08-09 09:44:01]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:44:01]	 Power On [OK] ![00211!]
                	 Receive : ![00210!]
[08-09 09:44:01]	 COM4 Close [OK]
[08-09 09:44:09]	 COM4 Close [OK]
[08-09 09:44:09]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:44:09]	 아스키 프로토콜 [OK] ![000/C1Hello /C2World!]
                	 Receive : ![0000!]
[08-09 09:44:09]	 COM4 Close [OK]
[08-09 09:44:57]	 COM1 Close [OK]
[08-09 09:44:58]	 COM1 Close [OK]
[08-09 09:45:01]	 COM1 Close [OK]
[08-09 09:45:01]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:45:01]	 Power Off [OK] ![00210!]
                	 Receive : ![00210!]
[08-09 09:45:01]	 COM4 Close [OK]
[08-09 09:45:43]	 COM4 Close [OK]
[08-09 09:45:44]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:45:44]	 릴레이 신호 출력 [OK]  ![00220000161696!]
                	 Receive : ![00220!]
[08-09 09:45:44]	 COM4 Close [OK]
[08-09 09:45:48]	 COM4 Close [OK]
[08-09 09:45:48]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:45:48]	 릴레이 신호 출력 [OK]  ![00220000261696!]
                	 Receive : ![00220!]
[08-09 09:45:48]	 COM4 Close [OK]
[08-09 09:46:09]	 COM4 Close [OK]
[08-09 09:46:15]	 COM4 Close [OK]
[08-09 09:46:15]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:46:15]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:46:15]	 COM4 Close [OK]
[08-09 09:46:17]	 COM4 Close [OK]
[08-09 09:46:17]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:46:17]	 아스키 프로토콜 [OK] ![000/Y0004/E0606/S1000/C7Text 123456789 Hello World!]
                	 Receive : ![0000!]
[08-09 09:46:17]	 COM4 Close [OK]
[08-09 09:46:22]	 COM4 Close [OK]
[08-09 09:46:23]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:46:23]	 아스키 프로토콜 [OK] ![000/C1Hello /C2World!]
                	 Receive : ![0000!]
[08-09 09:46:23]	 COM4 Close [OK]
[08-09 09:46:35]	 COM4 Close [OK]
[08-09 09:46:36]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:46:36]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:46:36]	 COM4 Close [OK]
[08-09 09:50:14]	 COM1 Close [OK]
[08-09 09:50:15]	 COM1 Close [OK]
[08-09 09:50:24]	 COM1 Close [OK]
[08-09 09:50:26]	 COM4 : 9,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:50:27]	 COM4 Close [OK]
[08-09 09:50:27]	 COM4 : 19,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:50:27]	 COM4 Close [OK]
[08-09 09:50:27]	 COM4 : 38,400bps, 8, 1, N - ComPort Open [OK]
[08-09 09:50:28]	 COM4 Close [OK]
[08-09 09:50:28]	 COM4 : 57,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:50:28]	 COM4 Close [OK]
[08-09 09:50:28]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:50:28]	 COM4 : 115200bps ComPort Search [Success]
[08-09 09:50:29]	 COM4 Close [OK]
[08-09 09:58:02]	 COM1 Close [OK]
[08-09 09:58:07]	 COM1 Close [OK]
[08-09 10:05:42]	 COM1 Close [OK]
[08-09 10:05:46]	 COM4 : 9,600bps, 8, 1, N - ComPort Open [OK]
[08-09 10:05:47]	 COM4 Close [OK]
[08-09 10:05:47]	 COM4 : 19,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:05:47]	 COM4 Close [OK]
[08-09 10:05:47]	 COM4 : 38,400bps, 8, 1, N - ComPort Open [OK]
[08-09 10:05:48]	 COM4 Close [OK]
[08-09 10:05:48]	 COM4 : 57,600bps, 8, 1, N - ComPort Open [OK]
[08-09 10:05:48]	 COM4 Close [OK]
[08-09 10:05:48]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:05:48]	 COM4 : 115200bps ComPort Search [Success]
[08-09 10:05:49]	 COM4 Close [OK]
[08-09 10:07:45]	 COM1 Close [OK]
[08-09 10:07:45]	 COM1 Close [OK]
[08-09 10:07:47]	 COM1 Close [OK]
[08-09 10:07:47]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:07:53]	 COM4 Close [OK]
[08-09 10:07:53]	 COM4 : 19,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:07:56]	 DABIT Connecting... [Fail] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 10:07:56]	 COM4 Close [OK]
[08-09 10:07:58]	 COM4 Close [OK]
[08-09 10:07:58]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:07:58]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 10:07:58]	 COM4 Close [OK]
[08-09 10:09:40]	 COM1 Close [OK]
[08-09 10:09:45]	 COM1 Close [OK]
[08-09 10:09:45]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:09:45]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 10:09:45]	 COM4 Close [OK]
[08-09 10:09:57]	 COM4 Close [OK]
[08-09 10:09:57]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:09:57]	 헥사 프로토콜 [OK] 10 02 00 00 11 94 00 00 63 01 00 03 01 01 00 14 02 00 00 00 00 00 10 03 
                	 Receive : 10 02 00 00 02 94 00 10 03 
[08-09 10:09:57]	 COM4 Close [OK]
[08-09 10:10:07]	 COM4 Close [OK]
[08-09 10:10:07]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:10:07]	 헥사 프로토콜 [OK] 10 02 00 00 29 94 00 00 63 01 00 03 01 01 00 14 02 00 00 00 00 00 00 01 02 03 04 05 06 07 07 07 07 07 48 65 6C 6C 6F 20 57 6F 72 6C 64 21 10 03 
                	 Receive : 10 02 00 00 02 94 00 10 03 
[08-09 10:10:07]	 COM4 Close [OK]
[08-09 10:10:20]	 COM4 Close [OK]
[08-09 10:10:20]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:10:20]	 헥사 프로토콜 [OK] 10 02 00 00 29 94 00 00 63 01 00 03 01 01 00 14 02 00 00 00 00 00 01 02 03 04 05 06 07 07 07 07 07 07 48 65 6C 6C 6F 20 57 6F 72 6C 64 21 10 03 
                	 Receive : 10 02 00 00 02 94 00 10 03 
[08-09 10:10:20]	 COM4 Close [OK]
[08-09 10:12:10]	 COM1 Close [OK]
[08-09 10:12:11]	 COM1 Close [OK]
[08-09 10:12:11]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [FAIL]
[08-09 10:12:11]	 COM4 Close [OK]
[08-09 10:12:14]	 COM4 Close [OK]
[08-09 10:12:15]	 COM4 Close [OK]
[08-09 10:12:15]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [FAIL]
[08-09 10:12:21]	 COM4 Close [OK]
[08-09 10:12:21]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:12:23]	 COM4 Close [OK]
[08-09 10:12:23]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:12:23]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 10:12:23]	 COM4 Close [OK]
[08-09 10:12:26]	 COM4 Close [OK]
[08-09 10:12:26]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:12:26]	 헥사 프로토콜 [OK] 10 02 00 00 11 94 00 00 63 01 00 03 01 01 00 14 02 00 00 00 00 00 10 03 
                	 Receive : 10 02 00 00 02 94 00 10 03 
[08-09 10:12:26]	 COM4 Close [OK]
[08-09 10:15:49]	 COM1 Close [OK]
[08-09 10:15:50]	 COM1 Close [OK]
[08-09 10:15:57]	 COM1 Close [OK]
[08-09 10:15:58]	 COM1 Close [OK]
[08-09 10:15:58]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:16:01]	 COM4 Close [OK]
[08-09 10:16:01]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:16:01]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 10:16:01]	 COM4 Close [OK]
[08-09 10:16:09]	 COM4 Close [OK]
[08-09 10:16:09]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:16:09]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 10:16:09]	 COM4 Close [OK]
[08-09 10:16:17]	 COM4 Close [OK]
[08-09 10:16:17]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:16:17]	 헥사 프로토콜 [OK] 10 02 00 00 11 94 00 00 63 01 00 03 01 01 00 14 02 00 00 00 00 00 10 03 
                	 Receive : 10 02 00 00 02 94 00 10 03 
[08-09 10:16:17]	 COM4 Close [OK]
[08-09 10:16:36]	 COM4 Close [OK]
[08-09 10:16:36]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 10:16:36]	 헥사 프로토콜 [OK] 10 02 00 00 29 94 00 00 63 01 00 03 01 01 00 14 02 00 00 00 00 00 01 02 03 04 05 06 07 07 07 07 07 07 48 65 6C 6C 6F 20 57 6F 72 6C 64 21 10 03 
                	 Receive : 10 02 00 00 02 94 00 10 03 
[08-09 10:16:36]	 COM4 Close [OK]
[08-09 10:17:00]	 COM4 Close [OK]
